categoria,fecha,casos
nuevos totales,2020-02-01,0
nuevos totales,2020-02-02,0
nuevos totales,2020-02-03,0
nuevos totales,2020-02-04,0
nuevos totales,2020-02-05,0
nuevos totales,2020-02-06,0
nuevos totales,2020-02-07,0
nuevos totales,2020-02-08,0
nuevos totales,2020-02-09,0
nuevos totales,2020-02-10,0
nuevos totales,2020-02-11,0
nuevos totales,2020-02-12,0
nuevos totales,2020-02-13,0
nuevos totales,2020-02-14,0
nuevos totales,2020-02-15,0
nuevos totales,2020-02-16,0
nuevos totales,2020-02-17,0
nuevos totales,2020-02-18,0
nuevos totales,2020-02-19,0
nuevos totales,2020-02-20,0
nuevos totales,2020-02-21,0
nuevos totales,2020-02-22,0
nuevos totales,2020-02-23,0
nuevos totales,2020-02-24,0
nuevos totales,2020-02-25,0
nuevos totales,2020-02-26,0
nuevos totales,2020-02-27,0
nuevos totales,2020-02-28,0
nuevos totales,2020-02-29,0
nuevos totales,2020-03-01,0
nuevos totales,2020-03-02,1
nuevos totales,2020-03-03,0
nuevos totales,2020-03-04,2
nuevos totales,2020-03-05,1
nuevos totales,2020-03-06,1
nuevos totales,2020-03-07,2
nuevos totales,2020-03-08,3
nuevos totales,2020-03-09,5
nuevos totales,2020-03-10,2
nuevos totales,2020-03-11,6
nuevos totales,2020-03-12,10
nuevos totales,2020-03-13,10
nuevos totales,2020-03-14,18
nuevos totales,2020-03-15,14
nuevos totales,2020-03-16,81
nuevos totales,2020-03-17,45
nuevos totales,2020-03-18,37
nuevos totales,2020-03-19,104
nuevos totales,2020-03-20,92
nuevos totales,2020-03-21,103
nuevos totales,2020-03-22,95
nuevos totales,2020-03-23,114
nuevos totales,2020-03-24,176
nuevos totales,2020-03-25,220
nuevos totales,2020-03-26,164
nuevos totales,2020-03-27,304
nuevos totales,2020-03-28,299
nuevos totales,2020-03-29,230
nuevos totales,2020-03-30,310
nuevos totales,2020-03-31,289
nuevos totales,2020-04-01,293
nuevos totales,2020-04-02,373
nuevos totales,2020-04-03,333
nuevos totales,2020-04-04,424
nuevos totales,2020-04-05,310
nuevos totales,2020-04-06,344
nuevos totales,2020-04-07,301
nuevos totales,2020-04-08,430
nuevos totales,2020-04-09,426
nuevos totales,2020-04-10,529
nuevos totales,2020-04-11,426
nuevos totales,2020-04-12,286
nuevos totales,2020-04-13,312
nuevos totales,2020-04-14,392
nuevos totales,2020-04-15,356
nuevos totales,2020-04-16,534
nuevos totales,2020-04-17,445
nuevos totales,2020-04-18,478
nuevos totales,2020-04-19,358
nuevos totales,2020-04-20,419
nuevos totales,2020-04-21,325
nuevos totales,2020-04-22,464
nuevos totales,2020-04-23,516
nuevos totales,2020-04-24,494
nuevos totales,2020-04-25,552
nuevos totales,2020-04-26,473
nuevos totales,2020-04-27,482
nuevos totales,2020-04-28,552
nuevos totales,2020-04-29,770
nuevos totales,2020-04-30,888
nuevos totales,2020-05-01,985
nuevos totales,2020-05-02,1427
nuevos totales,2020-05-03,1228
nuevos totales,2020-05-04,980
nuevos totales,2020-05-05,1373
nuevos totales,2020-05-06,1032
nuevos totales,2020-05-07,1533
nuevos totales,2020-05-08,1391
nuevos totales,2020-05-09,1247
nuevos totales,2020-05-10,1647
nuevos totales,2020-05-11,1197
nuevos totales,2020-05-12,1658
nuevos totales,2020-05-13,2660
nuevos totales,2020-05-14,2659
nuevos totales,2020-05-15,2502
nuevos totales,2020-05-16,1886
nuevos totales,2020-05-17,2353
nuevos totales,2020-05-18,2278
nuevos totales,2020-05-19,3520
nuevos totales,2020-05-20,4038
nuevos totales,2020-05-21,3964
nuevos totales,2020-05-22,4276
nuevos totales,2020-05-23,3536
nuevos totales,2020-05-24,3709
nuevos totales,2020-05-25,4895
nuevos totales,2020-05-26,3964
nuevos totales,2020-05-27,4328
nuevos totales,2020-05-28,4654
nuevos totales,2020-05-29,3695
nuevos totales,2020-05-30,4220
nuevos totales,2020-05-31,4830
nuevos totales,2020-06-01,5471
nuevos totales,2020-06-02,3527
nuevos totales,2020-06-03,4942
nuevos totales,2020-06-04,4664
nuevos totales,2020-06-05,4207
nuevos totales,2020-06-06,5246
nuevos totales,2020-06-07,6405
nuevos totales,2020-06-08,4696
nuevos totales,2020-06-09,3913
nuevos totales,2020-06-10,5737
nuevos totales,2020-06-11,5596
nuevos totales,2020-06-12,6754
nuevos totales,2020-06-13,6509
nuevos totales,2020-06-14,6938
nuevos totales,2020-06-15,5143
nuevos totales,2020-06-16,5013
nuevos totales,2020-06-17,4757
nuevos totales,2020-06-18,4475
nuevos totales,2020-06-19,6290
nuevos totales,2020-06-20,5355
nuevos totales,2020-06-21,5607
nuevos totales,2020-06-22,4608
nuevos totales,2020-06-23,3804
nuevos totales,2020-06-24,3649
nuevos totales,2020-06-25,4648
nuevos totales,2020-06-26,4296
nuevos totales,2020-06-27,4406
nuevos totales,2020-06-28,4216
nuevos totales,2020-06-29,4017
nuevos totales,2020-06-30,3394
nuevos totales,2020-07-01,2650
nuevos totales,2020-07-02,2498
nuevos totales,2020-07-03,3548
nuevos totales,2020-07-04,3758
nuevos totales,2020-07-05,3685
nuevos totales,2020-07-06,3025
nuevos totales,2020-07-07,2462
nuevos totales,2020-07-08,2064
nuevos totales,2020-07-09,3133
nuevos totales,2020-07-10,3058
nuevos totales,2020-07-11,2755
nuevos totales,2020-07-12,3012
nuevos totales,2020-07-13,2616
nuevos totales,2020-07-14,1836
nuevos totales,2020-07-15,1712
nuevos totales,2020-07-16,2475
nuevos totales,2020-07-17,2840
nuevos totales,2020-07-18,2185
nuevos totales,2020-07-19,2082
nuevos totales,2020-07-20,2099
nuevos totales,2020-07-21,1656
nuevos totales,2020-07-22,1741
nuevos totales,2020-07-23,2371
nuevos totales,2020-07-24,2545
nuevos totales,2020-07-25,2287
nuevos totales,2020-07-26,2198
nuevos totales,2020-07-27,2133
nuevos totales,2020-07-28,1876
nuevos totales,2020-07-29,1773
nuevos totales,2020-07-30,1948
nuevos totales,2020-07-31,2123
nuevos totales,2020-08-01,1979
nuevos totales,2020-08-02,2081
nuevos totales,2020-08-03,1762
nuevos totales,2020-08-04,1462
nuevos totales,2020-08-05,1781
nuevos totales,2020-08-06,1947
nuevos totales,2020-08-07,2149
nuevos totales,2020-08-08,2201
nuevos totales,2020-08-09,2036
nuevos totales,2020-08-10,1988
nuevos totales,2020-08-11,1566
nuevos totales,2020-08-12,1540
nuevos totales,2020-08-13,1852
nuevos totales,2020-08-14,2077
nuevos totales,2020-08-15,1777
nuevos totales,2020-08-16,2086
nuevos totales,2020-08-17,1556
nuevos totales,2020-08-18,1336
nuevos totales,2020-08-19,1233
nuevos totales,2020-08-20,1813
nuevos totales,2020-08-21,1920
nuevos totales,2020-08-22,1926
nuevos totales,2020-08-23,1942
nuevos totales,2020-08-24,1903
nuevos totales,2020-08-25,1406
nuevos totales,2020-08-26,1371
nuevos totales,2020-08-27,1739
nuevos totales,2020-08-28,1868
nuevos totales,2020-08-29,2033
nuevos totales,2020-08-30,1966
nuevos totales,2020-08-31,1753
nuevos totales,2020-09-01,1415
nuevos totales,2020-09-02,1582
nuevos totales,2020-09-03,1758
nuevos totales,2020-09-04,1965
nuevos totales,2020-09-05,1961
nuevos totales,2020-09-06,2077
nuevos totales,2020-09-07,1764
nuevos totales,2020-09-08,1263
nuevos totales,2020-09-09,1482
nuevos totales,2020-09-10,1639
nuevos totales,2020-09-11,1860
nuevos totales,2020-09-12,2135
nuevos totales,2020-09-13,2082
nuevos totales,2020-09-14,1685
nuevos totales,2020-09-15,1536
nuevos totales,2020-09-16,1305
nuevos totales,2020-09-17,1860
nuevos totales,2020-09-18,1673
nuevos totales,2020-09-19,1848
nuevos totales,2020-09-20,1600
nuevos totales,2020-09-21,1194
nuevos totales,2020-09-22,1054
nuevos totales,2020-09-23,1372
nuevos totales,2020-09-24,1731
nuevos totales,2020-09-25,2222
nuevos totales,2020-09-26,2109
nuevos totales,2020-09-27,1923
nuevos totales,2020-09-28,1770
nuevos totales,2020-09-29,1622
nuevos totales,2020-09-30,1684
nuevos totales,2020-10-01,1760
nuevos totales,2020-10-02,1839
nuevos totales,2020-10-03,1880
nuevos totales,2020-10-04,1708
nuevos totales,2020-10-05,1567
nuevos totales,2020-10-06,1554
nuevos totales,2020-10-07,1131
nuevos totales,2020-10-08,1575
nuevos totales,2020-10-09,1750
nuevos totales,2020-10-10,1824
nuevos totales,2020-10-11,1776
nuevos totales,2020-10-12,1517
nuevos totales,2020-10-13,1392
nuevos totales,2020-10-14,1089
nuevos totales,2020-10-15,1122
nuevos totales,2020-10-16,1689
nuevos totales,2020-10-17,1811
nuevos totales,2020-10-18,1759
nuevos totales,2020-10-19,1545
nuevos totales,2020-10-20,1099
nuevos totales,2020-10-21,1152
nuevos totales,2020-10-22,1495
nuevos totales,2020-10-23,1773
nuevos totales,2020-10-24,1631
nuevos totales,2020-10-25,1540
nuevos totales,2020-10-26,1505
nuevos totales,2020-10-27,922
nuevos totales,2020-10-28,1004
nuevos totales,2020-10-29,1519
nuevos totales,2020-10-30,1529
nuevos totales,2020-10-31,1686
nuevos totales,2020-11-01,1607
nuevos totales,2020-11-02,1314
nuevos totales,2020-11-03,1009
nuevos totales,2020-11-04,846
nuevos totales,2020-11-05,1540
nuevos totales,2020-11-06,1801
nuevos totales,2020-11-07,1568
nuevos totales,2020-11-08,1576
nuevos totales,2020-11-09,1318
nuevos totales,2020-11-10,1083
nuevos totales,2020-11-11,904
nuevos totales,2020-11-12,1631
nuevos totales,2020-11-13,1592
nuevos totales,2020-11-14,1644
nuevos totales,2020-11-15,1597
nuevos totales,2020-11-16,1331
nuevos totales,2020-11-17,1003
nuevos totales,2020-11-18,945
nuevos totales,2020-11-19,1455
nuevos totales,2020-11-20,1573
nuevos totales,2020-11-21,1550
nuevos totales,2020-11-22,1497
nuevos totales,2020-11-23,1440
nuevos totales,2020-11-24,1005
nuevos totales,2020-11-25,1004
nuevos totales,2020-11-26,1564
nuevos totales,2020-11-27,1570
nuevos totales,2020-11-28,1718
nuevos totales,2020-11-29,1489
nuevos totales,2020-11-30,1313
nuevos totales,2020-12-01,1119
nuevos totales,2020-12-02,1035
nuevos totales,2020-12-03,1507
nuevos totales,2020-12-04,1729
nuevos totales,2020-12-05,1533
nuevos totales,2020-12-06,1710
nuevos totales,2020-12-07,1760
nuevos totales,2020-12-08,1389
nuevos totales,2020-12-09,1247
nuevos totales,2020-12-10,1662
nuevos totales,2020-12-11,1531
nuevos totales,2020-12-12,1807
nuevos totales,2020-12-13,2139
nuevos totales,2020-12-14,1911
nuevos totales,2020-12-15,1498
nuevos totales,2020-12-16,1402
nuevos totales,2020-12-17,1998
nuevos totales,2020-12-18,2404
nuevos totales,2020-12-19,2217
nuevos totales,2020-12-20,2191
nuevos totales,2020-12-21,1943
nuevos totales,2020-12-22,1699
nuevos totales,2020-12-23,1726
nuevos totales,2020-12-24,2395
nuevos totales,2020-12-25,2520
nuevos totales,2020-12-26,2564
nuevos totales,2020-12-27,1711
nuevos totales,2020-12-28,1923
nuevos totales,2020-12-29,1958
nuevos totales,2020-12-30,1961
nuevos totales,2020-12-31,3022
nuevos totales,2021-01-01,3588
nuevos totales,2021-01-02,3338
nuevos totales,2021-01-03,2289
nuevos totales,2021-01-04,2450
nuevos totales,2021-01-05,2457
nuevos totales,2021-01-06,2378
nuevos totales,2021-01-07,3685
nuevos totales,2021-01-08,4201
nuevos totales,2021-01-09,4361
nuevos totales,2021-01-10,4181
nuevos totales,2021-01-11,3970
nuevos totales,2021-01-12,3238
nuevos totales,2021-01-13,3394
nuevos totales,2021-01-14,4177
nuevos totales,2021-01-15,4471
nuevos totales,2021-01-16,4313
nuevos totales,2021-01-17,4340
nuevos totales,2021-01-18,3918
nuevos totales,2021-01-19,3400
nuevos totales,2021-01-20,3583
nuevos totales,2021-01-21,4363
nuevos totales,2021-01-22,4956
nuevos totales,2021-01-23,4550
nuevos totales,2021-01-24,4498
nuevos totales,2021-01-25,4068
nuevos totales,2021-01-26,3322
nuevos totales,2021-01-27,3371
nuevos totales,2021-01-28,4260
nuevos totales,2021-01-29,4606
nuevos totales,2021-01-30,4160
nuevos totales,2021-01-31,4209
nuevos totales,2021-02-01,3779
nuevos totales,2021-02-02,3138
nuevos totales,2021-02-03,2616
nuevos totales,2021-02-04,3589
nuevos totales,2021-02-05,3786
nuevos totales,2021-02-06,4063
nuevos totales,2021-02-07,3804
nuevos totales,2021-02-08,3464
nuevos totales,2021-02-09,2829
nuevos totales,2021-02-10,2399
nuevos totales,2021-02-11,3729
nuevos totales,2021-02-12,4169
nuevos totales,2021-02-13,3920
nuevos totales,2021-02-14,3815
nuevos totales,2021-02-15,3333
nuevos totales,2021-02-16,2547
nuevos totales,2021-02-17,2330
nuevos totales,2021-02-18,3866
nuevos totales,2021-02-19,3827
nuevos totales,2021-02-20,3893
nuevos totales,2021-02-21,3618
nuevos totales,2021-02-22,3547
nuevos totales,2021-02-23,2356
nuevos totales,2021-02-24,2554
nuevos totales,2021-02-25,4181
nuevos totales,2021-02-26,4586
nuevos totales,2021-02-27,4523
nuevos totales,2021-02-28,4208
nuevos totales,2021-03-01,4082
nuevos totales,2021-03-02,2747
nuevos totales,2021-03-03,3053
nuevos totales,2021-03-04,4567
nuevos totales,2021-03-05,5325
nuevos totales,2021-03-06,5037
nuevos totales,2021-03-07,5280
nuevos totales,2021-03-08,4733
nuevos totales,2021-03-09,3528
nuevos totales,2021-03-10,3958
nuevos totales,2021-03-11,5566
nuevos totales,2021-03-12,5983
nuevos totales,2021-03-13,5928
nuevos totales,2021-03-14,5734
nuevos totales,2021-03-15,5117
nuevos totales,2021-03-16,4591
nuevos totales,2021-03-17,4395
nuevos totales,2021-03-18,6249
nuevos totales,2021-03-19,6604
nuevos totales,2021-03-20,7084
nuevos totales,2021-03-21,6836
nuevos totales,2021-03-22,6155
nuevos totales,2021-03-23,4948
nuevos totales,2021-03-24,4826
nuevos totales,2021-03-25,7023
nuevos totales,2021-03-26,7626
nuevos totales,2021-03-27,7588
nuevos totales,2021-03-28,7326
nuevos totales,2021-03-29,7247
nuevos totales,2021-03-30,5394
nuevos totales,2021-03-31,6053
nuevos totales,2021-04-01,7830
nuevos totales,2021-04-02,8112
nuevos totales,2021-04-03,8028
nuevos totales,2021-04-04,7304
nuevos totales,2021-04-05,5807
nuevos totales,2021-04-06,5164
nuevos totales,2021-04-07,5134
nuevos totales,2021-04-08,8195
nuevos totales,2021-04-09,9171
nuevos totales,2021-04-10,8124
nuevos totales,2021-04-11,7945
nuevos totales,2021-04-12,6372
nuevos totales,2021-04-13,5718
nuevos totales,2021-04-14,5497
nuevos totales,2021-04-15,7357
nuevos totales,2021-04-16,7590
nuevos totales,2021-04-17,7696
nuevos totales,2021-04-18,7294
nuevos totales,2021-04-19,6643
nuevos totales,2021-04-20,5071
nuevos totales,2021-04-21,4914
nuevos totales,2021-04-22,6832
nuevos totales,2021-04-23,7525
nuevos totales,2021-04-24,6796
nuevos totales,2021-04-25,6638
nuevos totales,2021-04-26,6078
nuevos totales,2021-04-27,4141
nuevos totales,2021-04-28,4416
nuevos totales,2021-04-29,6889
nuevos totales,2021-04-30,7199
nuevos totales,2021-05-01,6469
nuevos totales,2021-05-02,6122
nuevos totales,2021-05-03,4874
nuevos totales,2021-05-04,3198
nuevos totales,2021-05-05,3791
nuevos totales,2021-05-06,6202
nuevos totales,2021-05-07,6574
nuevos totales,2021-05-08,6219
nuevos totales,2021-05-09,5521
nuevos totales,2021-05-10,5357
nuevos totales,2021-05-11,3771
nuevos totales,2021-05-12,3920
nuevos totales,2021-05-13,6181
nuevos totales,2021-05-14,6903
nuevos totales,2021-05-15,6769
nuevos totales,2021-05-16,6320
nuevos totales,2021-05-17,5566
nuevos totales,2021-05-18,3787
nuevos totales,2021-05-19,4778
nuevos totales,2021-05-20,7680
nuevos totales,2021-05-21,7614
nuevos totales,2021-05-22,7514
nuevos totales,2021-05-23,6519
nuevos totales,2021-05-24,5374
nuevos totales,2021-05-25,4188
nuevos totales,2021-05-26,5176
nuevos totales,2021-05-27,8117
nuevos totales,2021-05-28,8680
nuevos totales,2021-05-29,8426
nuevos totales,2021-05-30,7772
nuevos totales,2021-05-31,6882
nuevos totales,2021-06-01,5040
nuevos totales,2021-06-02,5631
nuevos totales,2021-06-03,8150
nuevos totales,2021-06-04,8273
nuevos totales,2021-06-05,8867
nuevos totales,2021-06-06,7768
nuevos totales,2021-06-07,6958
nuevos totales,2021-06-08,5568
nuevos totales,2021-06-09,5369
nuevos totales,2021-06-10,7716
nuevos totales,2021-06-11,7972
nuevos totales,2021-06-12,7624
nuevos totales,2021-06-13,7529
nuevos totales,2021-06-14,6234
nuevos totales,2021-06-15,4607
nuevos totales,2021-06-16,4347
nuevos totales,2021-06-17,6683
nuevos totales,2021-06-18,6770
nuevos totales,2021-06-19,6263
nuevos totales,2021-06-20,5753
nuevos totales,2021-06-21,5252
nuevos totales,2021-06-22,3464
nuevos totales,2021-06-23,2768
nuevos totales,2021-06-24,3448
nuevos totales,2021-06-25,5628
nuevos totales,2021-06-26,5208
nuevos totales,2021-06-27,4488
nuevos totales,2021-06-28,4075
nuevos totales,2021-06-29,2648
nuevos totales,2021-06-30,2148
nuevos totales,2021-07-01,2677
nuevos totales,2021-07-02,4086
nuevos totales,2021-07-03,3880
nuevos totales,2021-07-04,3368
nuevos totales,2021-07-05,2852
nuevos totales,2021-07-06,1885
nuevos totales,2021-07-07,1892
nuevos totales,2021-07-08,3193
nuevos totales,2021-07-09,2906
nuevos totales,2021-07-10,2696
nuevos totales,2021-07-11,2330
nuevos totales,2021-07-12,2160
nuevos totales,2021-07-13,1278
nuevos totales,2021-07-14,1227
nuevos totales,2021-07-15,2336
nuevos totales,2021-07-16,2031
nuevos totales,2021-07-17,1874
nuevos totales,2021-07-18,1419
nuevos totales,2021-07-19,1015
nuevos totales,2021-07-20,902
nuevos totales,2021-07-21,989
nuevos totales,2021-07-22,1861
nuevos totales,2021-07-23,1656
nuevos totales,2021-07-24,1407
nuevos totales,2021-07-25,1446
nuevos totales,2021-07-26,1185
nuevos totales,2021-07-27,753
nuevos totales,2021-07-28,828
nuevos totales,2021-07-29,1383
nuevos totales,2021-07-30,1355
nuevos totales,2021-07-31,1152
nuevos totales,2021-08-01,1185
nuevos totales,2021-08-02,921
nuevos totales,2021-08-03,616
nuevos totales,2021-08-04,674
nuevos totales,2021-08-05,1223
nuevos totales,2021-08-06,1147
nuevos totales,2021-08-07,940
nuevos totales,2021-08-08,868
nuevos totales,2021-08-09,871
nuevos totales,2021-08-10,514
nuevos totales,2021-08-11,584
nuevos totales,2021-08-12,1128
nuevos totales,2021-08-13,882
nuevos totales,2021-08-14,877
nuevos totales,2021-08-15,904
nuevos totales,2021-08-16,754
nuevos totales,2021-08-17,405
nuevos totales,2021-08-18,503
nuevos totales,2021-08-19,899
nuevos totales,2021-08-20,763
nuevos totales,2021-08-21,698
nuevos totales,2021-08-22,679
nuevos totales,2021-08-23,591
nuevos totales,2021-08-24,387
nuevos totales,2021-08-25,392
nuevos totales,2021-08-26,801
nuevos totales,2021-08-27,672
nuevos totales,2021-08-28,607
nuevos totales,2021-08-29,603
nuevos totales,2021-08-30,512
nuevos totales,2021-08-31,315
nuevos totales,2021-09-01,375
nuevos totales,2021-09-02,594
nuevos totales,2021-09-03,504
nuevos totales,2021-09-04,477
nuevos totales,2021-09-05,430
nuevos totales,2021-09-06,435
nuevos totales,2021-09-07,273
nuevos totales,2021-09-08,358
nuevos totales,2021-09-09,515
nuevos totales,2021-09-10,518
nuevos totales,2021-09-11,489
nuevos totales,2021-09-12,449
nuevos totales,2021-09-13,426
nuevos totales,2021-09-14,297
nuevos totales,2021-09-15,408
nuevos totales,2021-09-16,604
nuevos totales,2021-09-17,594
nuevos totales,2021-09-18,610
nuevos totales,2021-09-19,491
nuevos totales,2021-09-20,280
nuevos totales,2021-09-21,291
nuevos totales,2021-09-22,526
nuevos totales,2021-09-23,886
nuevos totales,2021-09-24,852
nuevos totales,2021-09-25,783
nuevos totales,2021-09-26,775
nuevos totales,2021-09-27,640
nuevos totales,2021-09-28,454
nuevos totales,2021-09-29,525
nuevos totales,2021-09-30,895
nuevos totales,2021-10-01,846
nuevos totales,2021-10-02,853
nuevos totales,2021-10-03,752
nuevos totales,2021-10-04,673
nuevos totales,2021-10-05,503
nuevos totales,2021-10-06,714
nuevos totales,2021-10-07,981
nuevos totales,2021-10-08,1037
nuevos totales,2021-10-09,1033
nuevos totales,2021-10-10,1105
nuevos totales,2021-10-11,996
nuevos totales,2021-10-12,634
nuevos totales,2021-10-13,766
nuevos totales,2021-10-14,1223
nuevos totales,2021-10-15,1703
nuevos totales,2021-10-16,1774
nuevos totales,2021-10-17,1562
nuevos totales,2021-10-18,1357
nuevos totales,2021-10-19,966
nuevos totales,2021-10-20,1206
nuevos totales,2021-10-21,1842
nuevos totales,2021-10-22,2086
nuevos totales,2021-10-23,2056
nuevos totales,2021-10-24,1882
nuevos totales,2021-10-25,1677
nuevos totales,2021-10-26,1201
nuevos totales,2021-10-27,1753
nuevos totales,2021-10-28,2205
nuevos totales,2021-10-29,2379
nuevos totales,2021-10-30,2230
nuevos totales,2021-10-31,2250
nuevos totales,2021-11-01,1806
nuevos totales,2021-11-02,1390
nuevos totales,2021-11-03,1360
nuevos totales,2021-11-04,1953
nuevos totales,2021-11-05,2601
nuevos totales,2021-11-06,2895
nuevos totales,2021-11-07,2682
nuevos totales,2021-11-08,2367
nuevos totales,2021-11-09,1800
nuevos totales,2021-11-10,2229
nuevos totales,2021-11-11,2833
nuevos totales,2021-11-12,2950
nuevos totales,2021-11-13,2712
nuevos totales,2021-11-14,2835
nuevos totales,2021-11-15,2377
nuevos totales,2021-11-16,1741
nuevos totales,2021-11-17,2104
nuevos totales,2021-11-18,2640
nuevos totales,2021-11-19,2679
nuevos totales,2021-11-20,2696
nuevos totales,2021-11-21,2711
nuevos totales,2021-11-22,2252
nuevos totales,2021-11-23,1700
nuevos totales,2021-11-24,1937
nuevos totales,2021-11-25,2641
nuevos totales,2021-11-26,2692
nuevos totales,2021-11-27,2667
nuevos totales,2021-11-28,2361
nuevos totales,2021-11-29,1979
nuevos totales,2021-11-30,1392
nuevos totales,2021-12-01,1538
nuevos totales,2021-12-02,2244
nuevos totales,2021-12-03,2115
nuevos totales,2021-12-04,2060
nuevos totales,2021-12-05,1947
nuevos totales,2021-12-06,1517
nuevos totales,2021-12-07,1185
nuevos totales,2021-12-08,1401
nuevos totales,2021-12-09,1793
nuevos totales,2021-12-10,1516
nuevos totales,2021-12-11,1375
nuevos totales,2021-12-12,1605
nuevos totales,2021-12-13,1383
nuevos totales,2021-12-14,970
nuevos totales,2021-12-15,1080
nuevos totales,2021-12-16,1520
nuevos totales,2021-12-17,1465
nuevos totales,2021-12-18,1431
nuevos totales,2021-12-19,1275
nuevos totales,2021-12-20,1157
nuevos totales,2021-12-21,887
nuevos totales,2021-12-22,981
nuevos totales,2021-12-23,1504
nuevos totales,2021-12-24,1426
nuevos totales,2021-12-25,1511
nuevos totales,2021-12-26,1232
nuevos totales,2021-12-27,760
nuevos totales,2021-12-28,770
nuevos totales,2021-12-29,1295
nuevos totales,2021-12-30,1813
nuevos totales,2021-12-31,1831
nuevos totales,2022-01-01,1930
nuevos totales,2022-01-02,1921
nuevos totales,2022-01-03,1005
nuevos totales,2022-01-04,1058
nuevos totales,2022-01-05,1858
nuevos totales,2022-01-06,3134
nuevos totales,2022-01-07,3799
nuevos totales,2022-01-08,4380
nuevos totales,2022-01-09,4064
nuevos totales,2022-01-10,4069
nuevos totales,2022-01-11,3922
nuevos totales,2022-01-12,4847
nuevos totales,2022-01-13,7291
nuevos totales,2022-01-14,8270
nuevos totales,2022-01-15,9284
nuevos totales,2022-01-16,9454
nuevos totales,2022-01-17,8904
nuevos totales,2022-01-18,7533
nuevos totales,2022-01-19,9509
nuevos totales,2022-01-20,12500
nuevos totales,2022-01-21,14757
nuevos totales,2022-01-22,14449
nuevos totales,2022-01-23,13674
nuevos totales,2022-01-24,14780
nuevos totales,2022-01-25,14291
nuevos totales,2022-01-26,18446
nuevos totales,2022-01-27,24037
nuevos totales,2022-01-28,26727
nuevos totales,2022-01-29,29175
nuevos totales,2022-01-30,28480
nuevos totales,2022-01-31,26244
nuevos totales,2022-02-01,22192
nuevos totales,2022-02-02,29844
nuevos totales,2022-02-03,35197
nuevos totales,2022-02-04,37468
nuevos totales,2022-02-05,36297
nuevos totales,2022-02-06,34328
nuevos totales,2022-02-07,31063
nuevos totales,2022-02-08,24970
nuevos totales,2022-02-09,33362
nuevos totales,2022-02-10,36635
nuevos totales,2022-02-11,38446
nuevos totales,2022-02-12,35841
nuevos totales,2022-02-13,35038
nuevos totales,2022-02-14,28076
nuevos totales,2022-02-15,22845
nuevos totales,2022-02-16,30971
nuevos totales,2022-02-17,35789
nuevos totales,2022-02-18,34117
nuevos totales,2022-02-19,33769
nuevos totales,2022-02-20,30398
nuevos totales,2022-02-21,23254
nuevos totales,2022-02-22,18380
nuevos totales,2022-02-23,24700
nuevos totales,2022-02-24,30675
nuevos totales,2022-02-25,29135
nuevos totales,2022-02-26,27739
nuevos totales,2022-02-27,23821
nuevos totales,2022-02-28,18148
nuevos totales,2022-03-01,13928
nuevos totales,2022-03-02,20400
nuevos totales,2022-03-03,23395
nuevos totales,2022-03-04,23132
nuevos totales,2022-03-05,20503
nuevos totales,2022-03-06,19353
nuevos totales,2022-03-07,13820
nuevos totales,2022-03-08,10815